,uuid,nb_champs_renseignés
268,info:doi:10.24396/ORDAR-79,4.0
269,info:doi:10.24396/ORDAR-19,4.0
270,info:doi:10.24396/ORDAR-112,4.0
271,info:doi:10.24396/ORDAR-110,4.0
272,info:doi:10.24396/ORDAR-116,4.0
273,info:doi:10.24396/ORDAR-115,4.0
274,info:doi:10.24396/ORDAR-114,4.0
275,info:doi:10.24396/ORDAR-113,4.0
276,info:doi:10.24396/ORDAR-139,4.0
277,info:doi:10.24396/ORDAR-6,4.0
278,info:doi:10.24396/ORDAR-5,4.0
279,info:doi:10.24396/ORDAR-8,4.0
280,info:doi:10.24396/ORDAR-7,4.0
281,info:doi:10.24396/ORDAR-62,4.0
282,info:doi:10.24396/ORDAR-119,4.0
283,info:doi:10.24396/ORDAR-67,4.0
284,info:doi:10.24396/ORDAR-143,4.0
285,dc1be3cc-8984-47d4-a33a-d7c7919f6a62,3.0
286,eadaa6aa-aa31-420a-b4bb-f9eb6d3b2ba8,3.0
287,e37f7a41-b543-481a-ac2c-d0bce3b93f39,3.0
288,dca5105d-db8d-4318-92b2-91eced8151f0,3.0
289,e8a064aa-9ad8-46ff-85bb-1d60a5a89043,3.0
290,e242ba5a-f627-4796-a43b-4e550925c53d,3.0
291,dae682de-efa7-4af2-b2f5-5c8f784359c8,3.0
292,fbccbeb1-311d-4563-8083-6f93d6fdc52e,3.0
293,f0955bae-ad5a-4933-b214-96bb0530f0b9,3.0
294,de5e7c54-2b13-445b-a2dc-b8145b846a98,3.0
295,f9cc6337-ad42-45f6-85f4-9d7b7cf88823,3.0
296,e64cc3ba-a485-4d14-97af-f4209177a7b9,3.0
297,ecd3c3a7-58ae-4f11-8cce-8b00d1e506c9,3.0
298,ede0192f-08fb-4dda-89a2-345c13495ef2,3.0
299,efc7971a-6179-411b-af47-1f58eba20bbf,3.0
300,dd569771-dd67-49a0-a20d-32b2e7b84778,3.0
301,ec6ed76f-d6a7-4cde-8256-cfc2c3169360,3.0
302,f1dfb915-f6af-4ed5-9868-6d078e79c7cf,3.0
303,e08b3a98-6b7e-468e-a014-02e4017145b7,3.0
304,d9b459d5-897e-483d-ae40-9306c44a8875,3.0
305,f7a3082b-7e47-4bb1-b6fb-b3db38f2b8ba,3.0
306,edf41306-9e34-4005-a659-e21dbf0e92b3,3.0
307,f5f042af-05f1-4dfc-b463-a96816bea668,3.0
308,e74483fc-6d09-457c-8ffa-967bc4a2d781,3.0
309,f5ceee60-c8db-4a96-a4f4-a7c922b43c8f,3.0
310,e3cb9d6d-c2c4-4354-8afd-571067ca70df,3.0
311,e0d88a30-1803-4a18-a31a-6122377b0acd,3.0
312,f44a57e3-d75c-4d8f-9253-430d699e1369,3.0
313,ea237c15-c54b-4d7b-a8c1-a9ecf8a68545,3.0
314,eac20c96-d3f3-408e-895e-853191be9a85,3.0
315,d869c8a6-c88c-4853-82bb-1522aec80eda,3.0
316,dc971b6b-b9a1-48b7-8eb1-cee86ebe3a83,3.0
317,fb380917-f1e7-429b-b562-6d67dccaa0e6,3.0
318,f20dfd99-722f-4bd8-8011-1b8ba6764071,3.0
319,ef4a7d42-685b-423c-944a-a36b75a017c4,3.0
320,fd1d91aa-b81b-475d-a327-a4d2d79c0d08,3.0
321,fdd7b880-bb64-4192-952c-07bb34a0f2cf,3.0
322,f3c139db-279d-400b-8be2-2afb530fe9e9,3.0
323,dba1b947-dbb8-4688-9a5f-7596db0a88ee,3.0
324,db754b08-9b08-4ec3-8a16-c440139fe31f,3.0
325,fcfc242f-daec-4e54-b7bd-14efd75aa4db,3.0
326,e071c072-0138-4884-9efe-16864ed194c5,3.0
327,f8f5c1ec-df15-4c88-8bad-e74007fab8ef,3.0
328,eb09765c-cb15-4a54-966c-43c7e3c508eb,3.0
329,e9085c6c-8b4d-4c74-8989-0a522feed7ce,3.0
330,2b924157-cab9-4278-92f0-4db17c7b5ecd,3.0
331,ef33bd8b-0bad-4c8b-9cb1-c95625c15436,3.0
332,ef960cb2-d70b-41af-bb6d-2397d1f1b279,3.0
333,dc890f69-984f-42bd-bc7b-b0e806ff4b72,3.0
334,f722f81a-4a75-4cd4-9988-3a3dd31f11c4,17.0
335,89d1a51c-4f57-477e-b586-cc2aa066e0d3,26.0
336,3479cb66-04e7-442f-a244-62f077aa3fec,16.0
337,47059d14-be39-43b3-8c04-0d5e40712178,16.0
338,3fd16f51-976b-4209-88c5-7ab0e4425fe9,16.0
339,4dd0ccef-2a73-4da9-92fe-f77010893014,16.0
340,4e03d9ce-a919-45a2-bc40-bf185afe1a61,16.0
341,39f8b98f-06a4-4d89-b9d2-6b1e5804850b,16.0
342,415fb6d8-a135-4971-84ca-30039fff500c,16.0
343,59b5c47d-c576-4b07-be19-0470e4045edf,24.0
344,347d61e1-9727-4944-98b3-8b41f6ad096b,16.0
345,3faa18d5-7cf3-456e-aa6f-ba38a7c2e731,16.0
346,3b156d45-f21b-49bc-9286-136acc0cd5a9,18.0
347,4902da10-4d2c-4b4b-bc39-9e59003bc6ef,16.0
348,4b3dd045-b782-4599-b48c-f00e208faebf,16.0
349,71fd61a4-39cc-489b-97c7-dc6fbbee717c,20.0
350,8d72cbb4-e8b3-4419-9c7a-f3b61ac91ed2,12.0
351,8f22f05e-6b83-4fe7-9b32-020c6e6c6c50,20.0
352,3c63e9b6-f143-48e4-ae4b-2f13f06a2cb0,16.0
